State, parcel level, gerrychain iterations, time, pareto frontier 
MS,county,10000,334.04,(6|1) 
MS,tract,10000,5372.51,(16|1) 
LA,tract,10000,8854.23,(16|0) 
SC,tract,10000,6754.83,(16|0) 
AL,tract,10000,7841.51,(16|0) 
MD,tract,10000,7310.74,(26|3) (23|2) 
MO,tract,10000,8930.44,(17|0) 
TN,tract,10000,8449.01,(17|1) 
VA,tract,10000,11240.86,(19|0) 
NJ,tract,10000,10127.98,(22|1) (16|0) 
MI,tract,10000,17384.56,(21|1) 
NC,tract,10000,12853.33,(19|0) 
GA,tract,10000,14131.08,(26|4) (20|3) (19|2) 
OH,tract,10000,16941.83,(18|0) 
PA,tract,10000,17534.63,(19|1) (18|0) 
TX,tract,10000,30218.33,(19|0) 
NM,county,10000,62.60,(5|1) 
NM,tract,10000,3888.13,(15|2) (12|1) 
CO,tract,10000,6992.47,(16|0) 
AZ,tract,10000,8998.38,(17|1) 
NJ,tract,10000,10188.04,(19|1) (16|0) 
IL,tract,10000,15789.68,(20|1) (19|0) 
TX,tract,10000,30186.36,(22|9) (20|8) 
MS,county,10000,485.70,(6|1) 
MS,tract,10000,9494.32,(16|1) 
LA,tract,10000,15615.85,(15|0) 
SC,tract,10000,12053.42,(24|1) (16|0) 
AL,tract,10000,10269.65,(23|1) (16|0) 
MD,tract,10000,7247.33,(24|3) (23|2) 
MO,tract,10000,8981.20,(16|0) 
TN,tract,10000,8464.39,(17|1) 
VA,tract,10000,11250.15,(19|0) 
NJ,tract,10000,10211.56,(19|1) (16|0) 
MI,tract,10000,17506.94,(20|1) 
NC,tract,10000,12934.70,(18|0) 
GA,tract,10000,14108.24,(19|3) 
OH,tract,10000,16877.63,(17|0) 
IL,tract,10000,15801.05,(22|2) (19|1) 
PA,tract,10000,17722.47,(19|1) 
TX,tract,10000,30340.04,(20|0) 
NM,county,10000,163.95,(5|1) 
NM,tract,10000,3901.64,(16|2) (12|1) 
CO,tract,10000,7036.86,(16|0) 
AZ,tract,10000,8981.84,(17|1) 
NJ,tract,10000,10167.46,(20|1) (17|0) 
IL,tract,10000,16219.67,(19|1) 
TX,tract,10000,30241.93,(20|10) 
MS,county,10000,306.37,(6|1) 
MS,tract,10000,5425.49,(16|1) 
LA,tract,10000,8892.53,(16|0) 
SC,tract,10000,6835.30,(16|0) 
AL,tract,10000,7934.51,(16|0) 
MD,tract,10000,7306.78,(24|3) (23|2) 
MO,tract,10000,8981.25,(16|0) 
TN,tract,10000,8391.67,(17|1) 
VA,tract,10000,11286.20,(18|0) 
NJ,tract,10000,10198.08,(20|1) (16|0) 
MI,tract,10000,17528.43,(20|1) 
NC,tract,10000,12930.62,(18|0) 
GA,tract,10000,14191.43,(24|4) (20|3) (19|2) 
OH,tract,10000,16983.88,(17|0) 
PA,tract,10000,17672.98,(19|1) (18|0) 
TX,tract,10000,30493.83,(20|0) 
NM,county,10000,174.83,(5|1) 
NM,tract,10000,3858.92,(16|2) (12|1) 
CO,tract,10000,7026.33,(15|0) 
AZ,tract,10000,9142.98,(20|2) (18|1) 
NJ,tract,10000,10204.22,(20|1) (16|0) 
IL,tract,10000,16102.98,(19|1) 
TX,tract,10000,30324.40,(25|10) (21|9) (20|8) 
