node,GEOID20,district
0,01117,2
1,01047,2
2,01107,1
3,01077,1
4,01029,0
5,01005,4
6,01061,4
7,01045,4
8,01123,0
9,01025,5
10,01069,4
11,01129,5
12,01089,3
13,01041,4
14,01015,0
15,01079,3
16,01103,3
17,01075,1
18,01113,4
19,01059,1
20,01035,5
21,01051,2
22,01073,6
23,01127,1
24,01111,0
25,01101,2
26,01007,6
27,01055,0
28,01021,2
29,01031,4
30,01039,4
31,01067,4
32,01027,0
33,01091,2
34,01049,3
35,01019,3
36,01065,6
37,01105,2
38,01033,1
39,01063,6
40,01013,4
41,01081,4
42,01097,5
43,01057,1
44,01017,0
45,01125,1
46,01131,2
47,01095,0
48,01053,4
49,01083,1
50,01009,1
51,01099,5
52,01093,1
53,01085,4
54,01037,0
55,01109,4
56,01119,2
57,01133,3
58,01121,0
59,01071,3
60,01003,5
61,01011,2
62,01001,4
63,01087,2
64,01115,0
65,01023,2
66,01043,0
