node,GEOID20,district
0,08027970102,0
1,08027970101,0
2,08001008533,1
3,08001008534,1
4,08001008603,2
5,08001008604,2
6,08001008605,1
7,08001008606,1
8,08031008388,1
9,08123001005,2
10,08001009309,1
11,08001008705,1
12,08001008901,1
13,08001009321,1
14,08001008402,1
15,08001007900,1
16,08001008401,1
17,08001008802,1
18,08001009103,1
19,08001009408,1
20,08001009606,1
21,08001988700,1
22,08001008706,1
23,08001008801,1
24,08001009001,1
25,08015000403,3
26,08015000404,3
27,08001009101,1
28,08001009104,1
29,08001009202,1
30,08001009203,1
31,08001009204,1
32,08001009304,1
33,08001009306,1
34,08093000200,3
35,08001009307,1
36,08001009308,1
37,08093000300,3
38,08093000400,3
39,08093000500,3
40,08101002911,0
41,08101002913,0
42,08101003105,0
43,08101003106,0
44,08101002917,0
45,08101002914,0
46,08101002916,0
47,08101003600,0
48,08075966200,4
49,08075966000,4
50,08075966400,4
51,08075966300,4
52,08075965900,4
53,08001009310,1
54,08001009316,1
55,08001009318,1
56,08001009319,1
57,08035014005,4
58,08021974900,0
59,08021974800,0
60,08067970703,0
61,08099000100,0
62,08099000600,0
63,08057955600,3
64,08095967600,4
65,08095967700,4
66,08113968101,0
67,08059011728,5
68,08059011729,5
69,08059011730,5
70,08059011731,5
71,08123001600,2
72,08123000200,2
73,08123002502,2
74,08123001500,2
75,08123000502,2
76,08123002300,2
77,08123001700,2
78,08123002501,2
79,08123001800,2
80,08123001100,2
81,08031000201,1
82,08031003003,6
83,08031004201,1
84,08031007006,6
85,08031012010,5
86,08031000303,5
87,08077001707,0
88,08077001706,0
89,08031015500,6
90,08041006502,7
91,08031000703,5
92,08031002708,6
93,08031002709,6
94,08031003205,6
95,08031003204,6
96,08031003006,6
97,08031000705,5
98,08031000504,5
99,08031000404,1
100,08031000403,1
101,08031003802,6
102,08031000706,5
103,08031006818,6
104,08031006815,6
105,08031006816,6
106,08031007091,6
107,08031015800,1
108,08031007090,6
109,08031002603,1
110,08031980001,1
111,08031006817,6
112,08055960901,0
113,08055960902,0
114,08041006702,7
115,08041003913,7
116,08041003712,7
117,08041007104,7
118,08041004405,0
119,08041007402,7
120,08041007802,7
121,08041007801,7
122,08041006701,7
123,08041003713,7
124,08041007301,7
125,08041004707,7
126,08041007103,7
127,08041003401,7
128,08041007205,7
129,08041003002,7
130,08109977600,0
131,08109977700,0
132,08031004602,5
133,08031004603,5
134,08031004700,5
135,08041004512,7
136,08041004519,7
137,08041007603,7
138,08041007502,7
139,08041007401,7
140,08041007501,7
141,08041002402,7
142,08041004406,0
143,08041000104,7
144,08041003001,7
145,08041001902,7
146,08041001901,7
147,08041002801,7
148,08041002401,7
149,08041007106,7
150,08041005120,7
151,08041003402,7
152,08041003910,7
153,08041007604,7
154,08041005125,7
155,08041004404,0
156,08039961206,4
157,08039961207,4
158,08039961208,4
159,08039961209,4
160,08077000200,0
161,08077000300,0
162,08031004601,5
163,08031003402,6
164,08031003602,1
165,08101002300,0
166,08101002500,0
167,08101002600,0
168,08101002700,0
169,08101002801,0
170,08013013302,2
171,08013013305,2
172,08013013307,2
173,08013013308,2
174,08013013401,2
175,08013013208,2
176,08013013210,2
177,08013013211,2
178,08017960600,4
179,08101001400,0
180,08101002808,0
181,08101003004,0
182,08101003104,0
183,08101002400,0
184,08101002807,0
185,08013013402,2
186,08077000400,0
187,08077000500,0
188,08077000601,0
189,08077000602,0
190,08077001002,0
191,08077001302,0
192,08077001502,0
193,08123000600,2
194,08123000701,2
195,08123000800,2
196,08123000900,2
197,08077000700,0
198,08077001900,0
199,08001008535,1
200,08001008540,1
201,08001008551,1
202,08123001201,2
203,08001007801,1
204,08001009326,1
205,08123001202,2
206,08123001300,2
207,08123001404,3
208,08123000100,2
209,08061960100,0
210,08059011601,5
211,08059011602,5
212,08059011701,5
213,08059011708,5
214,08059011709,5
215,08059011710,5
216,08059011711,5
217,08059011712,5
218,08005004951,6
219,08005086500,4
220,08005080600,6
221,08005007106,4
222,08005083800,6
223,08059011720,5
224,08059011721,5
225,08009964700,0
226,08009964600,0
227,08059011724,5
228,08059011725,5
229,08059011726,5
230,08059011727,5
231,08005086001,4
232,08005007108,4
233,08005007112,4
234,08005007110,4
235,08005087301,6
236,08005005701,6
237,08005006864,4
238,08005005702,6
239,08005083201,4
240,08005086802,6
241,08005007113,4
242,08005006863,4
243,08005007111,4
244,08005006854,6
245,08005006862,6
246,08005083700,6
247,08005081002,6
248,08005081102,6
249,08005007109,4
250,08005081001,6
251,08005081101,6
252,08005087302,6
253,08005980000,6
254,08005083202,4
255,08005083600,6
256,08005006860,6
257,08005006861,6
258,08005006859,6
259,08005086002,4
260,08005086801,6
261,08055960600,0
262,08019014702,3
263,08039961100,4
264,08039961204,4
265,08039961205,4
266,08019014701,3
267,08065961900,3
268,08119010110,7
269,08119010109,7
270,08119010203,7
271,08119010107,7
272,08119010108,7
273,08119010112,7
274,08119010111,7
275,08041002501,7
276,08041005400,7
277,08041000203,7
278,08041007900,7
279,08041003705,7
280,08041003905,7
281,08041004300,7
282,08041004507,7
283,08041003707,7
284,08041000302,7
285,08041007700,7
286,08041003706,7
287,08041004506,0
288,08041003702,7
289,08041003100,7
290,08005005635,6
291,08005006713,6
292,08007974300,0
293,08007974400,0
294,08007940400,0
295,08005084600,6
296,08005005636,6
297,08031001800,6
298,08005086200,4
299,08005085400,4
300,08031002000,6
301,08031002402,1
302,08005005633,6
303,08005005634,6
304,08045951804,3
305,08045951803,3
306,08005005800,6
307,08005005951,6
308,08005005952,6
309,08005006000,6
310,08005084900,6
311,08014030900,2
312,08123002009,2
313,08005006712,6
314,08031005104,6
315,08031005200,6
316,08031006814,6
317,08031001500,1
318,08031002602,1
319,08005006100,6
320,08031002801,6
321,08031002802,6
322,08005005623,6
323,08005087200,6
324,08005006200,6
325,08005006300,6
326,08005006400,6
327,08005006601,6
328,08005082100,4
329,08005082700,4
330,08045952001,3
331,08005086400,4
332,08005082800,4
333,08005083500,4
334,08005083300,4
335,08005006603,6
336,08005006604,6
337,08005006704,6
338,08005006705,6
339,08005006706,6
340,08005006707,6
341,08005006708,6
342,08005006709,4
343,08105976800,0
344,08013013503,2
345,08003960202,0
346,08003960201,0
347,08073961800,4
348,08073961700,4
349,08101001500,0
350,08101001600,0
351,08101001700,0
352,08013012104,2
353,08013012101,2
354,08013012105,2
355,08053973100,0
356,08091967601,0
357,08091967602,0
358,08013012204,2
359,08013012300,2
360,08013012501,2
361,08013012505,2
362,08013012507,2
363,08065961702,3
364,08065961701,3
365,08101000500,0
366,08101000100,0
367,08101000300,0
368,08101000400,0
369,08005006502,6
370,08005082600,4
371,08005005628,6
372,08005006711,6
373,08001009603,1
374,08059980700,2
375,08059060501,5
376,08059011807,5
377,08059011808,5
378,08059009855,5
379,08059011101,5
380,08059011102,5
381,08059011551,5
382,08059009853,5
383,08059009856,5
384,08059011552,5
385,08059009854,5
386,08059009858,5
387,08059009857,5
388,08059980800,5
389,08051963601,0
390,08051963602,0
391,08051963701,0
392,08051963702,0
393,08001009604,1
394,08041004009,7
395,08005005627,6
396,08005081300,6
397,08005084000,6
398,08041004100,7
399,08041004701,7
400,08041004702,7
401,08041001302,7
402,08001009608,1
403,08001009607,1
404,08014030500,2
405,08014031000,2
406,08041005201,7
407,08041001600,7
408,08041001700,7
409,08005081200,6
410,08005007101,4
411,08005007500,6
412,08041003906,7
