node,GEOID20,district
0,22075,4
1,22067,5
2,22079,2
3,22009,0
4,22127,2
5,22115,2
6,22025,0
7,22007,1
8,22031,2
9,22017,5
10,22081,5
11,22117,0
12,22085,2
13,22051,4
14,22103,1
15,22023,2
16,22033,0
17,22045,3
18,22069,2
19,22109,4
20,22013,5
21,22015,5
22,22003,2
23,22073,5
24,22095,1
25,22091,0
26,22125,0
27,22101,4
28,22057,4
29,22123,5
30,22029,0
31,22063,3
32,22121,0
33,22065,5
34,22071,1
35,22005,3
36,22001,3
37,22089,4
38,22011,2
39,22041,5
40,22019,2
41,22111,5
42,22105,0
43,22021,2
44,22107,0
45,22049,5
46,22043,2
47,22061,5
48,22053,3
49,22055,3
50,22113,3
51,22035,5
52,22037,0
53,22087,1
54,22047,3
55,22083,5
56,22099,2
57,22027,5
58,22039,2
59,22097,2
60,22077,3
61,22059,2
62,22119,5
63,22093,1
