node,GEOID20,district
0,22103040805,1
1,22103040306,1
2,22103040607,1
3,22103040205,1
4,22103040713,1
5,22103040308,1
6,22103040712,1
7,22103041214,1
8,22103040711,1
9,22103040107,1
10,22103040204,1
11,22103041105,1
12,22103040106,1
13,22103041301,1
14,22103040108,1
15,22103040105,1
16,22103040402,1
17,22103040807,1
18,22103040206,1
19,22103040806,1
20,22103041213,1
21,22103040401,1
22,22103040309,1
23,22103040203,1
24,22103040307,1
25,22103041106,1
26,22103040609,1
27,22103041302,1
28,22103040606,1
29,22103040804,1
30,22103040714,1
31,22103040608,1
32,22009030702,2
33,22009030402,2
34,22009030502,2
35,22009030701,2
36,22009030401,2
37,22009030501,2
38,22053000500,2
39,22079010300,2
40,22105954200,1
41,22105954400,1
42,22007050100,0
43,22007050600,0
44,22007050500,0
45,22007050400,0
46,22007050300,0
47,22061960401,3
48,22061960702,3
49,22061960402,3
50,22061960701,3
51,22053000600,2
52,22079012900,2
53,22057022000,4
54,22103040709,1
55,22055001801,4
56,22075050800,5
57,22075050400,5
58,22075050600,5
59,22071980100,1
60,22071001751,1
61,22071990000,0
62,22071001744,0
63,22075050300,5
64,22075050500,5
65,22075050700,5
66,22103040708,1
67,22103041101,1
68,22103041103,1
69,22103040602,1
70,22103040900,1
71,22103040501,1
72,22103040705,1
73,22105954001,1
74,22071004600,5
75,22071000616,5
76,22071000618,5
77,22071014000,0
78,22033003300,0
79,22103040601,1
80,22079012000,2
81,22051027502,5
82,22051027601,5
83,22051027602,5
84,22051027703,5
85,22051027803,5
86,22095070900,0
87,22095071000,0
88,22033003907,0
89,22071007101,5
90,22073005204,3
91,22073010503,3
92,22073005203,3
93,22073011100,3
94,22073010900,3
95,22051027806,5
96,22071001746,0
97,22127960300,2
98,22127960100,2
99,22127960400,2
100,22071001743,0
101,22071000615,5
102,22051027811,5
103,22051027812,5
104,22065960300,3
105,22065960200,3
106,22065960400,3
107,22065960100,3
108,22017025300,3
109,22071001749,1
110,22071014500,0
111,22077952400,0
112,22077951900,0
113,22077952300,0
114,22077952100,0
115,22103041004,1
116,22103041104,1
117,22103040502,1
118,22103040801,1
119,22103041002,1
120,22103041003,1
121,22103041202,1
122,22103040304,1
123,22103040706,1
124,22077952000,0
125,22101040300,4
126,22101040800,4
127,22101041100,4
128,22101040100,4
129,22101041000,4
130,22051027810,5
131,22051020505,5
132,22051025500,5
133,22045030700,4
134,22045030800,4
135,22045031000,4
136,22051025800,5
137,22051021200,5
138,22051023003,5
139,22051024500,5
140,22037951300,0
141,22037951400,0
142,22037951600,0
143,22051020511,5
144,22051021400,5
145,22051024300,5
146,22051025003,5
147,22045030301,4
148,22045990000,4
149,22051024202,5
150,22069000500,2
151,22017023200,3
152,22017023300,3
153,22101040900,4
154,22101990000,4
155,22113950500,4
156,22113951100,4
157,22113950600,4
158,22057020704,4
159,22057021902,4
160,22057990000,4
161,22033005000,0
162,22073010700,3
163,22073000200,3
164,22063040202,1
165,22063040304,1
166,22063040805,1
167,22015010805,3
