node,GEOID20,district
0,28031,2
1,28115,3
2,28163,0
3,28137,3
4,28077,1
5,28007,0
6,28117,3
7,28113,1
8,28029,1
9,28013,0
10,28041,2
11,28005,1
12,28045,1
13,28129,2
14,28021,0
15,28153,2
16,28159,0
17,28053,0
18,28103,2
19,28083,0
20,28027,0
21,28047,1
22,28059,1
23,28107,3
24,28093,3
25,28043,0
26,28141,3
27,28119,3
28,28157,1
29,28079,0
30,28025,3
31,28037,1
32,28099,2
33,28081,3
34,28133,0
35,28063,1
36,28001,1
37,28057,3
38,28049,0
39,28033,3
40,28067,2
41,28075,2
42,28147,1
43,28065,1
44,28155,0
45,28089,2
46,28061,2
47,28017,0
48,28145,3
49,28069,2
50,28151,0
51,28055,0
52,28009,3
53,28087,3
54,28073,2
55,28003,3
56,28071,3
57,28015,0
58,28085,1
59,28143,0
60,28097,0
61,28019,0
62,28139,3
63,28109,1
64,28111,1
65,28011,0
66,28149,0
67,28101,2
68,28135,0
69,28125,0
70,28035,2
71,28161,3
72,28023,2
73,28127,2
74,28131,1
75,28121,2
76,28091,1
77,28039,1
78,28095,3
79,28123,0
80,28051,0
81,28105,0
