node,GEOID20,district
0,28067950402,1
1,28067950302,1
2,28067950301,2
3,28067950401,1
4,28017950100,3
5,28017950200,1
6,28017950300,1
7,28153950200,1
8,28047000600,2
9,28047000900,2
10,28007060600,1
11,28007060400,1
12,28007060100,1
13,28007060300,1
14,28007060500,1
15,28007060200,1
16,28047001900,2
17,28047002300,2
18,28047002500,2
19,28047002600,2
20,28143950102,3
21,28143950101,3
22,28113950102,0
23,28089030107,0
24,28157950201,0
25,28157950202,0
26,28047001600,2
27,28047001800,2
28,28075010301,1
29,28075010400,1
30,28075001000,1
31,28075000200,1
32,28075000900,1
33,28075000700,1
34,28047002900,2
35,28143950200,3
36,28151000701,0
37,28011950300,3
38,28011950200,3
39,28011950500,3
40,28011950400,0
41,28011950100,3
42,28071950201,3
43,28071950502,3
44,28151000702,0
45,28009950200,3
46,28067950700,1
47,28067951000,2
48,28067950500,1
49,28121020210,0
50,28121020208,0
51,28121020212,1
52,28121020209,0
53,28121980000,0
54,28047003512,2
55,28047003215,2
56,28047003406,2
57,28047003209,2
58,28047003212,2
59,28047003511,2
60,28047003510,2
61,28047003213,2
62,28047003001,2
63,28047003002,2
64,28047003306,2
65,28047003409,2
66,28047003408,2
67,28047003514,2
68,28005950200,0
69,28005950100,0
70,28063950103,0
71,28063950101,0
72,28063950102,0
73,28109950600,2
74,28027950500,3
75,28027950300,3
76,28027950400,3
77,28027950600,3
78,28027950700,3
79,28027950200,3
80,28027950100,3
81,28101050301,1
82,28101050302,1
83,28129950202,1
84,28129950302,1
85,28129950201,0
86,28129950301,1
87,28001000500,0
88,28001000400,0
89,28001000700,0
90,28001000300,0
91,28001000600,0
92,28001000200,0
93,28001000900,0
94,28081950800,3
95,28081950700,3
96,28147950102,0
97,28147950301,0
98,28147950302,0
99,28147950101,0
100,28001000800,0
101,28001000101,0
102,28001000102,0
103,28113950300,0
104,28113950700,0
105,28047003208,2
106,28097950100,1
107,28097950200,1
108,28117950500,3
109,28117950400,3
110,28023950300,1
111,28023950400,1
112,28023950100,1
113,28003950100,3
114,28003950300,3
115,28003950700,3
116,28003950600,3
117,28087000800,1
118,28087000500,1
119,28087001000,1
120,28087000600,1
121,28087001100,1
122,28087000700,1
123,28015950100,1
124,28053950300,1
125,28081950102,3
126,28081950302,3
127,28081950901,3
128,28081951002,3
129,28081950101,3
130,28155950100,1
131,28155950300,1
132,28155950200,1
133,28075010601,1
134,28075010502,1
135,28075010303,1
136,28075010205,1
137,28075010501,1
138,28075000402,1
139,28075010204,1
140,28075000401,1
141,28075010203,1
142,28075010304,1
143,28065950102,2
144,28065950101,0
145,28141950102,3
146,28141950101,3
147,28141950302,3
148,28141950402,3
149,28141950401,3
150,28141950301,3
151,28075010602,1
152,28075010206,1
153,28077960200,0
154,28077960100,0
155,28077960300,0
156,28029950600,0
157,28029950200,0
158,28029950400,0
159,28029950300,0
160,28125950200,0
161,28125950100,0
162,28107950400,3
163,28057950202,3
164,28057950201,3
165,28013950400,1
166,28013950100,3
167,28013950500,1
168,28013950200,1
169,28013950300,1
170,28003950502,3
