node,GEOID20,district
0,35013001207,0
1,35013001314,0
2,35013001310,0
3,35013001316,0
4,35013001208,0
5,35013001315,0
6,35013001313,0
7,35013001308,0
8,35013001105,0
9,35013001811,0
10,35013001501,0
11,35013001812,0
12,35013001813,0
13,35013000204,0
14,35013001206,0
15,35013001401,0
16,35013001402,0
17,35013001808,0
18,35013001318,0
19,35013000203,0
20,35013000206,0
21,35013000205,0
22,35013000901,0
23,35006941500,2
24,35006974201,2
25,35006945800,2
26,35013001807,0
27,35013001106,0
28,35013000902,0
29,35013001810,0
30,35013001814,0
31,35013001317,0
32,35013001209,0
33,35013001210,0
34,35013001502,0
35,35013001309,0
36,35013001311,0
37,35013001312,0
38,35013001809,0
39,35061970901,2
40,35061970902,2
41,35061971100,2
42,35061940300,2
43,35028000200,1
44,35028000500,1
45,35028000100,1
46,35028000400,1
47,35003976401,0
48,35003976402,2
49,35025000200,0
50,35025000400,0
51,35045000503,2
52,35001004756,1
53,35001002302,1
54,35001004763,1
55,35001004800,1
56,35001002303,1
57,35001004764,1
58,35001980600,1
59,35001001202,2
60,35001001201,2
61,35001000905,2
62,35001002301,1
63,35001000605,2
64,35001940601,1
65,35001004760,1
66,35001004761,1
67,35001000906,2
68,35001003743,2
69,35001002403,1
70,35001004755,1
71,35001002404,1
72,35001940602,1
73,35001940800,1
74,35001003740,2
75,35001003739,2
76,35001000908,2
77,35001000715,2
78,35001003742,2
79,35001000716,2
80,35001000718,2
81,35001003744,2
82,35001004754,1
83,35001004900,2
84,35001001702,2
85,35001003745,2
86,35001004757,1
87,35001001701,2
88,35001000503,2
89,35001000504,2
90,35001000719,2
91,35001000720,2
92,35001003741,2
93,35001980500,1
94,35001004759,1
95,35001004716,1
96,35001003805,2
97,35025001100,0
98,35025000100,0
99,35025000900,0
100,35025000800,0
101,35025000300,0
102,35051962200,0
103,35051962300,0
104,35006974701,2
105,35043940700,1
106,35045000610,2
107,35045000611,2
108,35045000705,2
109,35045000706,2
110,35045942801,2
111,35045942802,2
112,35043940200,1
113,35043010702,1
114,35043010900,1
115,35043940600,1
116,35043010601,1
117,35043010714,1
118,35061970800,2
119,35061970302,2
120,35061970101,2
121,35047957800,1
122,35047957700,0
123,35047957200,1
124,35047957400,1
125,35047957300,1
126,35061971000,2
127,35059950200,0
128,35009000602,0
129,35009000601,0
130,35009000603,0
131,35049000300,1
132,35013000300,0
133,35013000401,0
134,35013000500,0
135,35013000700,0
136,35013000800,0
137,35013001000,0
138,35013001702,0
139,35013001705,0
140,35057963201,2
141,35057963202,0
142,35049000600,1
143,35031943602,2
144,35031945201,2
145,35031945202,2
146,35031940302,2
147,35031940301,2
148,35049000800,1
149,35049940300,1
150,35049000500,1
151,35049010800,1
152,35049001103,1
153,35049010102,1
154,35049010400,1
155,35049010308,1
156,35049001202,1
157,35049001107,1
158,35049001105,1
159,35049001106,1
160,35049940500,1
161,35049940600,1
162,35049980000,1
163,35061970401,2
164,35061970200,2
165,35015001001,0
166,35015001002,0
167,35041000200,0
168,35033955202,0
169,35033955201,1
170,35041000300,0
171,35047957501,1
172,35047957602,1
173,35047957502,1
174,35047957603,1
175,35047957601,1
176,35025001004,0
177,35029000300,0
178,35005000202,0
179,35005001002,0
180,35005000201,0
181,35013001204,0
182,35013001103,0
183,35013001707,0
184,35013001706,0
185,35013001805,0
186,35013001203,0
187,35013001205,0
188,35013000103,0
189,35025000502,0
190,35025000600,0
191,35025001003,0
192,35011960100,0
193,35049010315,1
194,35049010316,1
195,35043010719,1
196,35043010721,1
197,35035000904,0
198,35035000701,0
199,35035000702,0
200,35035000502,0
201,35035000501,0
202,35035000403,0
203,35035000903,0
204,35035000404,0
205,35023970200,0
206,35001004001,2
207,35001003712,2
208,35001004604,1
209,35001004727,1
210,35001003730,2
211,35001001500,2
212,35001000126,2
213,35001003804,2
214,35001000401,2
215,35001000114,2
216,35001003729,2
217,35001004715,1
218,35001000117,2
219,35001003201,1
220,35001004752,1
221,35001003736,1
222,35001004300,1
223,35009000303,0
224,35001003807,2
225,35001000107,2
226,35001003715,2
227,35001003726,2
228,35001003803,0
229,35001000109,2
230,35001000110,2
231,35001000111,2
232,35001000112,2
233,35001000113,2
234,35001000115,2
235,35001000116,2
236,35001003100,1
237,35001003202,1
238,35001003400,2
239,35001000118,2
240,35001000119,2
241,35001000120,2
242,35001000121,2
243,35001000122,2
244,35001000123,2
245,35001000124,2
246,35001000125,2
247,35001000127,2
248,35001000128,2
249,35001000129,2
250,35001000203,2
251,35001003501,1
252,35001000204,2
253,35001000205,2
254,35001000206,2
255,35001000207,2
256,35001000208,2
257,35001000300,2
258,35001000501,2
259,35001004736,1
260,35001004734,1
261,35001000402,2
262,35001000601,2
263,35001000603,2
264,35001000704,2
265,35001000711,2
266,35001000712,2
267,35001001800,2
268,35001002000,2
269,35001002100,2
270,35001002200,1
271,35001003502,1
272,35001003707,2
273,35001003717,2
274,35001000713,2
275,35001000904,2
276,35001001101,2
277,35001001102,2
278,35001001300,2
279,35001002401,1
280,35001002700,2
281,35001002900,2
282,35001003001,1
283,35001003719,2
284,35001003722,2
285,35001003723,2
286,35001003724,2
287,35001003728,2
288,35001003725,2
289,35001003731,2
290,35001003733,2
291,35001001400,1
292,35039000500,1
293,35039940700,1
294,35039000200,1
295,35039940800,1
296,35039000100,1
297,35001004401,1
298,35039000402,1
299,35039000301,1
300,35039000401,1
301,35039000302,1
302,35037958602,0
303,35037958601,0
304,35055952702,1
305,35055952102,1
306,35055952101,1
307,35055940101,1
308,35017964701,0
309,35017964402,0
310,35017964702,0
311,35017964401,0
312,35039944100,1
313,35035000604,0
314,35057963601,2
315,35057980000,2
316,35053978200,2
317,35053978303,2
318,35053978100,2
319,35053978302,2
320,35053978301,2
321,35035940000,0
322,35041000402,0
323,35041000401,0
324,35051962402,0
325,35051962401,0
326,35005001200,0
327,35005000500,0
328,35005001300,0
329,35005000400,0
330,35005000700,0
331,35053940000,2
332,35005000600,0
333,35005000800,0
334,35005000900,0
335,35043010722,1
336,35043011200,1
337,35043940900,1
338,35025001005,0
339,35025000503,0
340,35049010204,1
341,35049010309,1
342,35049010603,1
343,35049010601,1
344,35049001205,1
345,35049001304,1
346,35049010312,2
347,35049010310,0
348,35049010311,0
349,35049940400,1
350,35049010900,1
351,35049001102,1
352,35045000707,2
353,35045000504,2
354,35045942803,2
355,35045000607,2
356,35045000708,2
357,35045000900,2
358,35045943300,2
359,35049001301,1
360,35049001302,1
361,35049010602,1
362,35037958900,0
363,35021000100,0
364,35001004742,1
365,35045000612,2
366,35045000609,2
367,35043010602,1
368,35043010705,1
369,35043010712,1
370,35043010715,1
371,35043940300,1
372,35043940500,1
373,35043010503,1
374,35025000704,0
375,35041000100,0
376,35049001001,1
377,35049001002,1
378,35049000400,1
379,35049000900,1
380,35049001203,1
381,35049010304,1
382,35049010500,1
383,35049000700,1
384,35035000602,0
385,35035000603,0
386,35035000601,0
387,35035000401,0
388,35035000100,0
389,35035000200,0
390,35025000703,0
391,35001004402,1
392,35001004501,1
393,35001004712,1
394,35001004713,1
395,35001004724,1
396,35001004726,1
397,35001004728,1
398,35001004729,1
399,35001004725,1
400,35001004720,1
401,35001000714,2
402,35001004744,1
403,35055940102,1
404,35055952701,1
405,35055952602,1
406,35055952601,1
407,35061971301,2
408,35061970305,2
409,35061970304,2
410,35061970306,2
411,35061970307,2
412,35061970103,2
413,35049010205,1
414,35049000201,1
415,35049010701,1
416,35049001206,1
417,35049010702,1
418,35049001207,1
419,35049001306,1
420,35049000102,1
421,35049980200,1
422,35049010318,1
423,35049000103,1
424,35049001305,1
425,35049000202,1
426,35049010317,1
427,35001004739,1
428,35001004733,1
429,35001004753,1
430,35001004750,1
431,35001004749,1
432,35001003737,2
433,35001004735,1
434,35001004745,1
435,35001004747,1
436,35001004743,1
437,35015000401,0
438,35015000402,0
439,35015000100,0
440,35015000600,0
441,35015000300,0
442,35015000900,0
443,35015000800,0
444,35015000500,0
445,35015000200,0
446,35015001100,0
447,35015000700,0
448,35017964600,0
449,35017964800,0
450,35017964500,0
451,35017964300,0
452,35017964100,0
453,35017964200,0
454,35061970405,2
455,35061970404,2
456,35006946100,2
457,35019961600,0
458,35035000305,0
459,35025000504,0
460,35045943000,2
461,35045000613,2
462,35045000401,2
463,35045000301,2
464,35045000202,2
465,35045000204,2
466,35045000402,2
