node,GEOID20,district
0,45015020715,1
1,45035010607,1
2,45035010608,1
3,45089970601,0
4,45089970602,0
5,45019002103,1
6,45019002614,1
7,45019004614,2
8,45051070102,2
9,45051030102,2
10,45051070101,2
11,45051040101,2
12,45051040105,2
13,45063020601,3
14,45051051503,2
15,45051050401,2
16,45051051201,2
17,45051051302,2
18,45063020510,3
19,45045000200,4
20,45063020511,3
21,45013000903,1
22,45013002201,1
23,45013002105,1
24,45079010413,0
25,45079011411,0
26,45079010806,0
27,45079010805,0
28,45079010104,5
29,45079011417,0
30,45043920504,2
31,45085000901,0
32,45085001703,0
33,45085000902,0
34,45079003100,3
35,45089970802,0
36,45025950300,5
37,45007011201,4
38,45007011902,4
39,45079002900,3
40,45079002100,0
41,45079002800,3
42,45025950200,5
43,45025950800,5
44,45007012002,4
45,45007010103,4
46,45043920204,2
47,45043920203,2
48,45043920508,2
49,45043920601,2
50,45043920602,2
51,45043920509,2
52,45043920506,2
53,45043920507,2
54,45043920701,2
55,45043920702,2
56,45043920510,2
57,45043920511,2
58,45063980100,3
59,45063020602,3
60,45063021019,3
61,45067950300,2
62,45067950800,2
63,45067950100,5
64,45067950400,2
65,45067950600,2
66,45067950700,5
67,45067950200,2
68,45067950500,2
69,45091061602,5
70,45091060102,5
71,45071950203,3
72,45013002101,1
73,45013002106,1
74,45079000100,0
75,45063021208,3
76,45063021207,3
77,45039960402,5
78,45039960401,5
79,45039960302,5
80,45039960501,5
81,45039960301,5
82,45039960502,5
83,45061920202,0
84,45061920201,5
85,45061920401,0
86,45061920402,0
87,45059920700,3
88,45059920800,3
89,45059920900,3
90,45059920600,3
91,45059920400,3
92,45089970501,0
93,45089970300,2
94,45089970200,0
95,45089970900,0
96,45019001500,1
97,45089970100,0
98,45089970502,0
99,45089970700,0
100,45089970400,2
101,45019001901,1
102,45019002004,2
103,45045003701,4
104,45019001000,2
105,45045000100,4
106,45047970202,3
107,45019004701,2
108,45019002611,1
109,45001950200,4
110,45001950300,4
111,45001950600,3
112,45001950100,4
113,45001950500,3
114,45043920400,2
115,45043920301,2
116,45043920100,2
117,45043920800,2
118,45063020604,3
119,45019005100,2
120,45063021033,3
121,45063021109,3
122,45063021113,3
123,45063021110,3
124,45063020803,0
125,45085002000,0
126,45085001704,0
127,45063021023,3
128,45063021305,3
129,45063021116,3
130,45063021205,3
131,45063021021,3
132,45063021020,3
133,45021970101,6
134,45021970204,6
135,45021970102,6
136,45021970403,6
137,45021970404,6
138,45021970203,6
139,45011970401,0
140,45011970402,0
141,45011970102,0
142,45011970101,0
143,45009960202,0
144,45009960102,0
145,45009960101,0
146,45009960201,0
147,45047970102,4
148,45047970101,3
149,45047970201,3
150,45047970301,3
151,45047970702,3
