State, parcel_level, s, pass, number of parcels, number of fixings, percent fixed, time, 
IL,tract,30,2,"3,265","23",0.70,"2,404.80"
MS,county,19,2,"82","1",1.22,"0.84"
LA,tract,15,1,"1,388","1",0.07,"2.66"
TX,tract,28,2,"6,896","83",1.20,"42,783.54"
MO,tract,32,2,"1,654","0",0.00,"4,805.55"
TN,tract,44,2,"1,701","42",2.47,"3,795.70"
IL,tract,27,2,"3,265","146",4.47,"2,016.92"
NC,tract,27,2,"2,672","115",4.30,"14,372.44"
MS,county,26,3,"82","1",1.22,"0.40"
TN,tract,45,3,"1,701","22",1.29,"3,529.58"
PA,tract,17,2,"3,446","2,276",66.05,"328.24"
PA,tract,37,3,"3,446","960",27.86,"6,864.42"
NC,tract,19,3,"2,672","762",28.52,"8,732.58"
NJ,tract,30,2,"2,181","58",2.66,"2,485.91"
IL,tract,21,2,"3,265","462",14.15,"1,641.58"
MI,tract,15,2,"3,017","1,485",49.22,"335.34"
PA,tract,39,3,"3,446","872",25.30,"8,366.82"
TN,tract,25,2,"1,701","645",37.92,"1,302.67"
TX,tract,15,3,"6,896","6,896",100.00,"1,644.88"
TN,tract,35,3,"1,701","334",19.64,"1,275.33"
NC,tract,17,3,"2,672","1,830",68.49,"4,071.87"
MS,county,32,2,"82","1",1.22,"0.83"
MS,tract,16,3,"878","45",5.13,"59.60"
TN,tract,45,1,"1,701","1",0.06,"35.29"
MS,tract,16,2,"878","5",0.57,"18.61"
IL,tract,23,1,"3,265","130",3.98,"31.15"
MO,tract,18,1,"1,654","827",50.00,"25.95"
PA,tract,41,2,"3,446","580",16.83,"3,090.87"
SC,tract,16,2,"1,323","129",9.75,"494.73"
SC,tract,19,2,"1,323","49",3.70,"536.89"
PA,tract,42,1,"3,446","161",4.67,"61.83"
PA,tract,49,3,"3,446","147",4.27,"19,051.57"
MS,county,37,2,"82","1",1.22,"0.83"
GA,tract,21,3,"2,796","11",0.39,"2,346.62"
PA,tract,51,3,"3,446","13",0.38,"28,979.15"
NC,tract,30,1,"2,672","10",0.37,"27.99"
OH,tract,23,2,"3,168","69",2.18,"11,784.11"
OH,tract,20,1,"3,168","91",2.87,"36.08"
TX,tract,22,1,"6,896","450",6.53,"291.79"
NC,tract,22,1,"2,672","143",5.35,"24.78"
MS,county,21,2,"82","1",1.22,"0.83"
MS,county,12,2,"82","1",1.22,"0.92"
MO,tract,28,2,"1,654","54",3.26,"5,390.91"
AL,tract,18,2,"1,437","9",0.63,"473.76"
PA,tract,20,3,"3,446","2,267",65.79,"696.30"
MI,tract,19,1,"3,017","507",16.80,"29.99"
MD,tract,21,2,"1,475","31",2.10,"360.26"
PA,tract,42,2,"3,446","453",13.15,"4,242.19"
MD,tract,23,2,"1,475","16",1.08,"386.23"
PA,tract,36,2,"3,446","700",20.31,"2,641.27"
IL,tract,14,3,"3,265","2,097",64.23,"937.90"
MI,tract,28,3,"3,017","379",12.56,"9,536.25"
MS,county,11,3,"82","1",1.22,"0.49"
MS,county,07,1,"82","3",3.66,"0.06"
IL,tract,24,3,"3,265","526",16.11,"7,197.52"
NJ,tract,23,1,"2,181","168",7.70,"22.83"
AL,tract,18,3,"1,437","23",1.60,"442.13"
VA,tract,16,2,"2,198","966",43.95,"1,224.07"
NJ,tract,34,1,"2,181","3",0.14,"29.42"
AL,tract,17,2,"1,437","13",0.90,"483.04"
MO,tract,27,3,"1,654","1,654",100.00,"2,234.26"
NC,tract,14,1,"2,672","789",29.53,"28.82"
TN,tract,17,2,"1,701","1,033",60.73,"102.82"
PA,tract,16,3,"3,446","2,486",72.14,"291.27"
MS,county,23,1,"82","0",0.00,"0.11"
NJ,tract,23,3,"2,181","763",34.98,"2,151.16"
IL,tract,22,1,"3,265","174",5.33,"32.61"
NJ,tract,22,2,"2,181","490",22.47,"3,713.45"
