State, parcel, n, m, num_minority_districts, s, model status, total time 
MS,county,82,202,1,6,Feasible,0.01
MS,tract,878,2378,2,15,Feasible,0.02
MS,tract,878,2378,1,15,Feasible,0.03
LA,tract,1388,3861,3,14,Feasible,0.12
LA,tract,1388,3861,2,14,Feasible,0.14
LA,tract,1388,3861,1,14,Feasible,0.08
SC,tract,1323,3677,2,13,Feasible,2.78
SC,tract,1323,3677,1,13,Feasible,1.20
AL,tract,1437,4014,2,14,Feasible,3.81
AL,tract,1437,4014,1,14,Feasible,1.97
MD,tract,1475,3993,4,14,Feasible,0.14
MD,tract,1475,3993,3,14,Feasible,0.21
MD,tract,1475,3993,2,14,Feasible,0.15
MD,tract,1475,3993,1,14,Feasible,0.09
MO,tract,1654,4488,1,14,Infeasible,0.00
MO,tract,1654,4488,1,15,Infeasible,0.00
MO,tract,1654,4488,1,16,Infeasible,0.00
MO,tract,1654,4488,1,17,Infeasible,0.00
MO,tract,1654,4488,1,18,Infeasible,0.00
MO,tract,1654,4488,1,19,Infeasible,0.00
MO,tract,1654,4488,1,20,Infeasible,0.00
MO,tract,1654,4488,1,21,Infeasible,0.00
MO,tract,1654,4488,1,22,Infeasible,0.00
MO,tract,1654,4488,1,23,Infeasible,0.00
MO,tract,1654,4488,1,24,Infeasible,0.00
MO,tract,1654,4488,1,25,Infeasible,0.00
MO,tract,1654,4488,1,26,Infeasible,0.00
MO,tract,1654,4488,1,27,Infeasible,0.00
MO,tract,1654,4488,1,28,Feasible,0.09
TN,tract,1701,4691,2,14,Feasible,0.01
TN,tract,1701,4691,1,14,Feasible,0.00
VA,tract,2198,6064,2,13,Feasible,2.46
VA,tract,2198,6064,1,13,Feasible,0.89
NJ,tract,2181,6061,1,12,Feasible,0.04
MI,tract,3017,7989,2,14,Infeasible,0.00
MI,tract,3017,7989,2,15,Feasible,0.16
MI,tract,3017,7989,1,14,Infeasible,0.00
MI,tract,3017,7989,1,15,Feasible,0.09
NC,tract,2672,7422,3,13,Infeasible,0.00
NC,tract,2672,7422,3,14,Infeasible,0.00
NC,tract,2672,7422,3,15,Infeasible,0.00
NC,tract,2672,7422,3,16,Infeasible,0.54
NC,tract,2672,7422,3,17,Feasible,2.65
NC,tract,2672,7422,2,13,Infeasible,0.00
NC,tract,2672,7422,2,14,Infeasible,0.00
NC,tract,2672,7422,2,15,Infeasible,0.00
NC,tract,2672,7422,2,16,Infeasible,0.27
NC,tract,2672,7422,2,17,Feasible,1.38
NC,tract,2672,7422,1,13,Infeasible,0.00
NC,tract,2672,7422,1,14,Infeasible,0.00
NC,tract,2672,7422,1,15,Infeasible,0.00
NC,tract,2672,7422,1,16,Infeasible,0.11
NC,tract,2672,7422,1,17,Feasible,0.62
GA,tract,2796,7762,7,14,Feasible,1.55
GA,tract,2796,7762,6,14,Feasible,2.48
GA,tract,2796,7762,5,14,Feasible,2.18
GA,tract,2796,7762,4,14,Feasible,1.68
GA,tract,2796,7762,3,14,Feasible,1.32
GA,tract,2796,7762,2,14,Feasible,0.90
GA,tract,2796,7762,1,14,Feasible,0.52
OH,tract,3168,8747,2,13,Infeasible,0.00
OH,tract,3168,8747,2,14,Infeasible,0.00
OH,tract,3168,8747,2,15,Infeasible,0.00
OH,tract,3168,8747,2,16,Infeasible,0.00
OH,tract,3168,8747,2,17,Infeasible,0.00
OH,tract,3168,8747,2,18,Feasible,0.35
OH,tract,3168,8747,1,13,Infeasible,0.00
OH,tract,3168,8747,1,14,Infeasible,0.00
OH,tract,3168,8747,1,15,Infeasible,0.00
OH,tract,3168,8747,1,16,Infeasible,0.00
OH,tract,3168,8747,1,17,Infeasible,0.00
OH,tract,3168,8747,1,18,Feasible,0.02
IL,tract,3265,8728,3,13,Feasible,0.07
IL,tract,3265,8728,2,13,Feasible,0.09
IL,tract,3265,8728,1,13,Feasible,0.06
PA,tract,3446,9641,2,13,Feasible,1.33
PA,tract,3446,9641,1,13,Feasible,0.03
TX,tract,6896,18554,3,12,Infeasible,0.00
TX,tract,6896,18554,3,13,Infeasible,0.00
TX,tract,6896,18554,3,14,Infeasible,0.00
TX,tract,6896,18554,3,15,Infeasible,0.00
TX,tract,6896,18554,3,16,Infeasible,0.01
TX,tract,6896,18554,3,17,Feasible,115.08
TX,tract,6896,18554,2,12,Infeasible,0.00
TX,tract,6896,18554,2,13,Infeasible,0.00
TX,tract,6896,18554,2,14,Infeasible,0.00
TX,tract,6896,18554,2,15,Infeasible,0.00
TX,tract,6896,18554,2,16,Infeasible,0.01
TX,tract,6896,18554,2,17,Feasible,71.55
TX,tract,6896,18554,1,12,Infeasible,0.00
TX,tract,6896,18554,1,13,Infeasible,0.00
TX,tract,6896,18554,1,14,Infeasible,0.00
TX,tract,6896,18554,1,15,Infeasible,0.00
TX,tract,6896,18554,1,16,Infeasible,0.00
TX,tract,6896,18554,1,17,Feasible,23.77
