State, parcel level, k, n, m, s, obj_wo_symmetry, bound_wo_symmetry, gap_wo_symmetry(%), time_wo_symmetry, obj_w_symmetry, bound_w_symmetry, gap_w_symmetry(%), time_w_symmetry, gap_improvement(pp), 
MS,county,4,82,202,6,1,1.00,0.00,29.70,1,1.00,0.00,10.93,0.00, 
LA,tract,6,1388,3861,14,no incumbent,2.00,NA,3627.53,no incumbent,2.00,NA,3642.14,NA, 
SC,tract,7,1323,3677,13,no incumbent,2.00,NA,3617.28,no incumbent,1.00,NA,3618.02,NA, 
AL,tract,7,1437,4014,14,no incumbent,2.00,NA,3620.84,no incumbent,2.00,NA,3621.82,NA, 
MD,tract,8,1475,3993,14,no incumbent,3.00,NA,3621.67,Infeasible,-inf,NA,24.17,NA, 
MO,tract,8,1654,4488,14,no incumbent,-0.00,NA,3605.68,no incumbent,-0.00,NA,3626.45,NA, 
VA,tract,11,2198,6064,13,no incumbent,1.00,NA,3701.83,Infeasible,-inf,NA,116.39,NA, 
NJ,tract,12,2181,6061,12,no incumbent,1.00,NA,3722.19,no incumbent,-0.00,NA,3728.79,NA, 
MI,tract,13,3017,7989,14,no incumbent,1.00,NA,3845.83,Infeasible,-inf,NA,289.12,NA, 
NC,tract,14,2672,7422,13,no incumbent,-0.00,NA,3601.67,no incumbent,-0.00,NA,3601.82,NA, 
TN,tract,9,1701,4691,14,no incumbent,1.00,NA,3643.85,no incumbent,1.00,NA,3774.41,NA, 
GA,tract,14,2796,7762,14,no incumbent,7.00,NA,3800.30,no incumbent,7.00,NA,3810.56,NA, 
MS,tract,4,878,2378,15,no incumbent,2.00,NA,3631.25,OOM,1.00,NA,2769.26,NA, 
OH,tract,15,3168,8747,13,no incumbent,-0.00,NA,3601.69,no incumbent,-0.00,NA,3602.05,NA, 
IL,tract,17,3265,8728,13,no incumbent,2.00,NA,3637.19,OOM,2.00,NA,1198.47,NA, 
PA,tract,17,3446,9641,13,no incumbent,1.00,NA,3609.26,no incumbent,2.00,NA,3609.09,NA, 
TX,tract,38,6896,18554,12,OOM,-0.00,NA,352.26,OOM,-0.00,NA,326.58,NA, 
