State, parcel, k, n, m, obj. (k_m), time (s), x & z fixed (%), w fixed (%)
MS,county,4,82,202,2,0.05,50.00,50.00
MS,tract,4,878,2378,2,0.68,50.00,50.00
LA,tract,6,1388,3861,3,2.93,50.00,50.00
SC,tract,7,1323,3677,2,2.82,71.43,71.43
AL,tract,7,1437,4014,2,4.19,71.43,71.43
MD,tract,8,1475,3993,4,7.02,50.00,50.00
MO,tract,8,1654,4488,1,2.26,87.50,87.50
TN,tract,9,1701,4691,2,5.47,77.78,77.78
VA,tract,11,2198,6064,2,12.16,81.82,81.82
NJ,tract,12,2181,6061,2,6.11,83.33,83.33
MI,tract,13,3017,7989,2,28.42,84.62,84.62
NC,tract,14,2672,7422,3,29.30,78.57,78.57
GA,tract,14,2796,7762,7,79.00,50.00,50.00
OH,tract,15,3168,8747,2,33.00,86.67,86.67
IL,tract,17,3265,8728,3,80.26,82.35,82.35
PA,tract,17,3446,9641,2,38.53,88.24,88.24
TX,tract,38,6896,18554,3,1726.61,92.11,92.11
