State,level,group,k,kmUB(Tab3),max_MM_found,frontier s_min(k_m),s*_proven
AL,tract,black,7,2,1,1:23,
GA,tract,black,14,7,4,1:19 2:19 3:19 4:24,
IL,tract,black,17,3,2,1:19 2:22,
LA,tract,black,6,3,1,1:33,
MD,tract,black,8,4,3,1:23 2:23 3:24,
MI,tract,black,13,2,1,1:20,
MO,tract,black,8,1,0,,
MS,county,black,4,2,1,1:6,yes
MS,tract,black,4,2,1,1:16,
NC,tract,black,14,3,0,,
NJ,tract,black,12,2,1,1:19,
OH,tract,black,15,2,0,,
PA,tract,black,17,2,1,1:19,
SC,tract,black,7,2,1,1:24,
TN,tract,black,9,2,1,1:17,
TX,tract,black,38,3,0,,
VA,tract,black,11,2,0,,
AZ,tract,hispanic,9,3,2,1:17 2:20,
CO,tract,hispanic,8,1,0,,
IL,tract,hispanic,17,3,1,1:19,
NJ,tract,hispanic,12,2,1,1:20,
NM,county,hispanic,3,1,1,1:5,yes
NM,tract,hispanic,3,2,2,1:12 2:16,
TX,tract,hispanic,38,24,10,1:20 2:20 3:20 4:20 5:20 6:20 7:20 8:20 9:20 10:20,
CA,tract,black,52,0,0,,
FL,tract,black,28,4,0,,
NY,tract,black,26,6,2,1:21 2:21,
CA,tract,hispanic,52,33,14,1:20 2:20 3:20 4:20 5:20 6:20 7:20 8:20 9:20 10:20 11:20 12:21 13:21 14:21,
FL,tract,hispanic,28,10,5,1:18 2:18 3:18 4:18 5:18,
NY,tract,hispanic,26,5,2,1:21 2:21,
